#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server, when no display manager."
,polkit,"manages user policies."
,polkit-kde-agent, "KDE plasma authentication agent"
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,noto-fonts,"google fonts"
,ttf-hack-nerd,"Hack nerd-font"
,ttf-ubuntu-font-family,"Ubuntu font"
,ttf-ubuntumono-nerd,"Ubuntu monospaced nerd-font"
,ttf-sourcecodepro-nerd,"Adobe monospaced nerd-font"
,adobe-source-code-pro-fonts,"Adobe monospaced fontcollection"
,adobe-source-sans-fonts,"Adobe sans fontcollection"
,gnu-free-fonts,"Gnu fonts"
A,ttf-ms-fonts, "Microsoft fontcollection"
,ttf-fira-mono, "Mozilla monospaced font"
,ttf-fira-sans, "Mozilla Sans font"
A,ttf-vista-fonts, "Microsoft vista fonts"
,ttf-font-awesome,"provides extended glyph support."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,ueberzug,"enables previews in the lf file manager."
,bc,"is used for a dropdown calculator."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,firefox,"mozilla web-browser"
,chromium,"chromium web-browser"
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,bat,"can highlight code output and display files."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
G,https://github.com/LukeSmithxyz/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/lukesmithxyz/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
A,picom-jonaburg-git,"fancy windows"
,thunderbird,"e-mail"
A,spotify,"proprietary music streaming"
,discord,"proprietary video call and messaging service"
,btop,"Better terminal system monitor written in c++"
,code,"VScode without tracking"
,emacs,"it's emacs!"
,ripgrep,"ripgrep"
,fd,"dependency doom emacs"
,playerctl,"manage media players via commandline"
,network-manager-applet,"Network status in systray"
,bluez,"bluetooth"
,bluez-utils,"bluetoothctl"
,bluez-tools,"bluetooth tools"
,blueman,"bluetooth gui"
,syncthing,"synchronize files easily over network between multiple devices"
,tailscale,"access my devices from everywhere over vpn"
,gimp,"gnu image manipulation program"
,udiskie,"automount usb"
,udisks2,"disk management"
A,tty-clock,"Terminal clock"
,virt-manager,"GTK gui for managing virtual machines"
,wget,"download files from command line"
A,musnify-mpd,"notifications for mpd music server"
A,git-credential-manager-core-bin,"git gui for authentication, and credentials storage via oauth"
A,gotify-cli,"Gotify-cli client"
A,gotify-desktop,"gotify desktop notifications"
A,jellyfin-media-player-git,"jellyfin desktop client"
,pcmanfm-gtk3,"GUI file manager for drag and drop files"
,cifs-utils,"mount network drives"
,gvfs-smb,"mount smb shares"
A,nsxiv,"version of sxiv that is still maintained"
A,pass-import,"import passwords into pass"
,pass-otp,"OTP support in pass"
,stow,"I use gnu stow for dotfiles installation"
A,passmenu-otp-git,"passmenu with otp support"
,keepassxc,"keepass"
,python-pip,"python package manager"
A,activitywatch-bin, "Log computer usage"
,python-pykeepass, "Needed for importing passwords into pass"
,python-virtualenv, "Virtual environments in pyton"
,npm, "package manager for webdesign"
,sddm, "Display manager"
A,sddm-sugar,"Theme for sddm"
,rofi,"dmenu replacement"
,arc-icon-theme,"Best icon theme"
,libcanberra,"Needed for sounds"
A,gruvbox-material-gtk-theme-git,"gruvbox for gtk"
,kvantum,"qt5 theme"
,parcellite,"clipboard manager"
,i3lock,"lock screen"
,lxappearance,"theme customization"
,volumeicon,"volumeicon for systray"
,gparted,"gui partitioning"
,alacritty,"terminal that works"
,hunspell,"Dictionary"
,hunspell-nl,"Dutch Dictionary"
,hunspell-de,"German Dictionary"
,hunspell-en_gb,"Brittish-English Dictionary"
,hunspell-en_us,"American-English Dictionary"
,hunspell-fr,"French Dictionary"
,qt5ct,"QT5 themes"
,awesome,"Window manager"
A,lain-git,"Stuff for awesome wm (gaps)"
,remmina,"remote desktop client"
,mlocate,"faster searching of files"
